cocktailName,cocktailNameKo,alcoholStrength,cocktailStory,cocktailType,alcoholBaseType,ingredient,recipe,cocktailImgUrl
Diesel,디젤,LIGHT,"디젤'이라는 이름처럼, 이 칵테일은 당신의 일상에 강렬한 활력을 불어넣어 줄 거예요. 라거와 사이다, 그리고 블랙커런트 코디얼의 독특한 조합은 마치 에너지가 넘치는 엔진처럼 당신의 열정을 깨워주죠. 디젤은 지루한 일상에서 벗어나 짜릿한 일탈을 꿈꾸는 당신에게 완벽한 선택이 될 거예요.",LONG,OTHER,"라거:1/2 pint, 사이다:1/2 pint, 블랙커런트 코디얼:1 dash","라거를 먼저 붓고, 블랙커런트 코디얼을 넣은 뒤, 사이다를 채운다. 색은 기네스에 가까운 어두운 빛을 띈다.",https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg
Daiquiri,다이키리,MEDIUM,"이 칵테일은 쿠바의 뜨거운 태양 아래에서 탄생했어요. 럼의 이국적인 맛과 라임의 상큼함, 그리고 설탕의 달콤함이 어우러져 마치 한여름의 휴가처럼 자유롭고 낭만적인 기분을 선사하죠. 다이키리는 일상에 지쳐 떠나고 싶은 당신에게 활력을 불어넣어 줄 거예요.",CLASSIC,RUM,"라이트 럼:1 1/2 oz, 라임:1/2 ea, 설탕 가루:1 tsp",얼음을 넣은 셰이커에 모든 재료를 넣고 잘 흔든다. 차갑게 한 칵테일 글라스에 따른다.,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg
Danbooka,단부카,VERY_STRONG,"단북(Danbook)'이라는 단어는 '작은 책'을 의미하며, 이 칵테일은 마치 흥미로운 소설처럼 당신의 상상력을 자극해요. 커피의 깊은 맛과 에버클리어의 강렬함은 한 모금 마실 때마다 새로운 이야기가 펼쳐지는 듯한 기분을 선사하죠. 단북은 혼자만의 시간을 가지며 깊은 생각에 빠지고 싶은 당신에게 완벽한 음료가 될 거예요.",SHORT,OTHER,"커피:3 parts, 에버클리어:1 part",그냥 붓고 섞는다.,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg
Downshift,다운시프트,STRONG,"기어를 낮추다'라는 뜻의 이름처럼, 이 칵테일은 복잡한 삶의 속도를 늦추고 여유를 즐기라는 메시지를 담고 있어요. 달콤한 과일 펀치와 시원한 스프라이트, 그리고 강렬한 데킬라의 조합은 마치 모든 것을 내려놓고 자유를 만끽하는 듯한 기분을 느끼게 해줘요. 다운시프트는 지친 당신에게 필요한 휴식과 활력을 선사할 거예요.",LONG,TEQUILA,"과일 펀치:2 part, 스프라이트:1 part, 테킬라:2 shots, 151 프루프 럼:1/2 shot","스프라이트, 데킬라, 미닛메이드 과일펀치를 순서대로 붓고, 마지막에 151을 띄운다. 얼음은 선택 사항.",https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg
Dragonfly,드래곤플라이,STRONG,"잠자리'라는 이름처럼, 이 칵테일은 가볍고 상쾌한 매력을 지니고 있어요. 진의 깔끔함과 진저 에일의 청량함, 그리고 라임의 상큼함이 어우러져 마치 잠자리가 날아다니는 시골의 맑은 공기를 마시는 듯한 느낌을 주죠. 드래곤플라이는 복잡한 생각에서 벗어나 마음을 편안하게 하고 싶을 때 완벽한 음료가 될 거예요.",LONG,GIN,"진:1 1/2 oz, 진저 에일:4 oz, 라임:1 ea","얼음을 거의 채운 하이볼 글라스에 진과 진저에일을 넣고 잘 저은 뒤, 라임 웨지로 장식한다.",https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg
Dry Martini,드라이 마티니,VERY_STRONG,드라이 마티니'는 시대를 초월하는 우아함과 세련미를 상징해요. 진의 깔끔한 맛과 드라이 베르무트의 절제된 향은 마치 자신감 넘치는 현대 여성의 당당한 모습을 표현하는 듯하죠. 드라이 마티니는 유행에 휩쓸리지 않고 자신만의 스타일을 추구하는 당신에게 가장 잘 어울리는 칵테일입니다.,CLASSIC,GIN,"진:1 2/3 oz, 드라이 베르무트:1/3 oz, 올리브:1 ea","스트레이트: 모든 재료를 믹싱 글라스에 넣고 얼음과 저은 뒤, 마티니 글라스에 따른다. 레몬 껍질 오일을 짜내거나 올리브로 장식한다.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg
Dry Rob Roy,드라이 롭 로이,STRONG,드라이 롭 로이'는 스코틀랜드의 전설적인 영웅 롭 로이의 이름을 따왔어요. 스카치 위스키의 묵직함과 드라이 베르무트의 절제된 맛은 마치 강인하면서도 세련된 여성의 모습을 표현하는 듯하죠. 드라이 롭 로이는 당신의 당당하고 자신감 넘치는 매력을 더욱 빛나게 해줄 거예요.,CLASSIC,WHISKY,"스카치:2 1/2 oz, 드라이 베르무트:1 1/2 tsp, 레몬 껍질:1 twist of","얼음을 반쯤 채운 믹싱 글라스에 스카치와 베르무트를 넣고 저은 뒤, 칵테일 글라스에 따른다. 레몬 트위스트로 장식한다.",https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg
Dirty Nipple,더티 니플,VERY_STRONG,"이 칵테일은 '달콤한 유혹'이라는 별명을 가지고 있어요. 깔루아의 달콤함과 삼부카의 독특한 향, 그리고 베일리스의 부드러움이 어우러져 마치 예상치 못한 사랑에 빠진 듯한 설렘을 느끼게 하죠. 더티 니플은 특별한 날, 당신의 매력을 더욱 돋보이게 해줄 거예요.",SHOOTER,LIQUEUR,"깔루아:1 shot, 삼부카:1 shot, 베일리스 아이리시 크림:1 shot",층이 지는 샷. 베일리스는 반드시 위에 떠야 한다.,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg
Dirty Martini,더티 마티니,VERY_STRONG,"더티'라는 이름은 단순히 더럽다는 의미가 아니라, 올리브 브라인을 첨가해 씁쓸하고 짭짤한 맛을 더했다는 의미예요. 이 칵테일은 겉으로는 차가워 보이지만, 속은 따뜻하고 깊은 매력을 지닌 사람을 닮았죠. 드라이한 맛과 올리브의 풍미가 어우러져 복잡하지만 매력적인 당신의 모습을 표현하는 듯해요.",CLASSIC,VODKA,"보드카:1 oz, 드라이 베르무트:1 tbsp, 올리브 브라인:2 tbsp, 레몬:1 wedge, 올리브:1 ea","보드카, 드라이 베르무트, 올리브 브라인을 칵테일 셰이커에 얼음과 함께 넣고 흔든다. 마티니 글라스 림을 레몬 웨지로 문지른 뒤, 걸러 붓고 올리브로 장식한다. (더티 마티니는 올리브 브라인을 추가한다.)",https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg
Darkwood Sling,다크우드 슬링,STRONG,"어둠의 숲'이라는 이름처럼, 이 칵테일은 미지의 세계로 떠나는 신비로운 여행을 상징해요. 체리 히어링의 씁쓸한 맛과 오렌지 주스의 상큼함이 어우러져 마치 동화 속 숲속을 헤매는 듯한 기분을 선사하죠. 다크우드 슬링은 당신의 호기심을 자극하고 새로운 모험을 시작하게 해줄 거예요.",CLASSIC,LIQUEUR,"체리 히어링:1 part, 소다수:1 part, 오렌지 주스:1 part, 얼음:5 cubes","체리 리큐르를 붓고, 소다를 넣는다. 사워 스타일을 원하면 토닉을 쓴다. 이후 오렌지 주스와 얼음을 채운다.",https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg
Dark and Stormy,다크 앤 스토미,STRONG,"어둡고 폭풍우 치는'이라는 이름처럼, 이 칵테일은 예상치 못한 즐거움을 가져다주는 반전 매력을 지녔어요. 다크 럼의 묵직함과 진저 비어의 짜릿한 탄산이 만나 마치 폭풍우가 지난 후의 상쾌함처럼 짜릿한 기분을 느끼게 해줘요. 이 칵테일은 평범한 하루를 특별하게 만들고 싶은 당신에게 완벽한 음료가 될 거예요.",LONG,RUM,"다크 럼:5 cl, 진저 비어:10 cl",얼음을 채운 하이볼 글라스에 다크 럼을 넣고 진저 비어를 채운다. 라임 웨지로 장식한다.,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg
Dark Caipirinha,다크 카이피리냐,STRONG,"브라질의 강렬한 태양과 열정을 담은 칵테일이에요. 데메라라 설탕과 라임, 카샤사의 조합은 마치 인생의 달콤함과 씁쓸함을 동시에 맛보는 것처럼 깊고 복합적인 매력을 선사하죠. 다크 카이피리냐는 평범한 일상에 지쳐 특별한 활력이 필요한 당신에게 완벽한 음료가 될 거예요.",LONG,RUM,"데메라라 설탕:2 tsp, 라임:1 ea, 카샤사:2 1/2 oz",라임 조각과 설탕을 올드패션 글라스에 넣고 으깬다. 얼음을 채운 뒤 까샤사를 넣고 저어 마신다.,https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg
Duchamp's Punch,뒤샹의 펀치,MEDIUM,"예술가 뒤샹에게서 영감을 받은 이 칵테일은, '예술적인 삶'을 추구하는 당신을 위한 음료예요. 피스코와 라임 주스, 파인애플 시럽 등 다양한 재료가 어우러져 마치 예상치 못한 반전이 가득한 현대 미술 작품처럼 다채로운 매력을 보여주죠. 뒤샹의 펀치는 당신의 창의성을 자극하고 새로운 영감을 불러일으킬 거예요.",SHORT,BRANDY,"피스코:5 cl, 라임 주스:2.5 cl, 파인애플 시럽:2.5 cl, 생제르맹:1.5 cl, 앙고스투라 비터스:2 Dashes, 후추:1 Pinch, 라벤더:2 sprigs","모든 재료를 흔든 뒤, 큰 얼음이 든 더블 올드패션 글라스에 더블 스트레인한다. 라벤더 가지로 장식한다.",https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg
Damned if you do,대민드 이프 유 두,VERY_STRONG,"해도 후회, 안 해도 후회'라는 의미의 이 칵테일은, 인생의 기로에 선 당신을 위한 음료예요. 위스키의 씁쓸함과 핫 댐의 강렬함은 어떤 선택이든 후회할 수 있다는 것을 인정하고, 현재를 즐기라는 메시지를 담고 있죠. 이 칵테일은 당신의 모든 선택을 응원하고, 그 결과를 긍정적으로 받아들이는 용기를 줄 거예요.",SHOOTER,WHISKY,"위스키:0.75 oz, 핫 댐:0.25 oz",샷 글라스에 따라 바로 마신다. 원한다면 반복.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg
Dubonnet Cocktail,듀보네 칵테일,MEDIUM,영국 왕실의 우아함'을 담은 칵테일이에요. 엘리자베스 2세 여왕이 즐겨 마신 것으로 알려져 있죠. 진의 깔끔함과 듀보넷 루즈의 깊은 풍미가 어우러져 마치 격조 높은 사교 파티에 참석한 듯한 기분을 느끼게 해줘요. 이 칵테일은 당신의 품격을 한 단계 높여줄 완벽한 선택이 될 거예요.,CLASSIC,GIN,"뒤봉네 루즈:1 1/2 oz, 진:3/4 oz, 비터스:1 dash, 레몬 껍질:1 twist of","얼음을 넣고 모든 재료(레몬 껍질 제외)를 저은 뒤, 칵테일 글라스에 따른다. 레몬 트위스트를 추가한다.",https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg
Drinking Chocolate,드링킹 초콜릿,NON_ALCOHOLIC,"이 음료는 마치 겨울날의 포근한 위로 같아요. 진한 초콜릿과 따뜻한 우유에 계피와 바닐라 향이 더해져, 온몸을 부드럽게 감싸는 듯한 기분을 선사하죠. 드링킹 초콜릿은 지친 하루를 보낸 당신에게 따뜻한 위로와 달콤한 휴식을 선물할 거예요.",SHORT,OTHER,"헤비 크림:2 oz, 우유:6-8 oz, 계피:1 stick, 바닐라:1 pinch, 초콜릿:2 oz, 휘핑크림:1/2 shot","크림과 우유를 바닐라빈, 계피와 함께 약불에서 15~20분 데운다. 바닐라빈과 계피를 제거하고 초콜릿을 넣어 녹인다. 진한 휘핑크림을 올려 커피잔에 서빙한다. (더 진하게는 우유 4oz, 크림 4oz, 초콜릿 4oz 사용.)",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg
Death in the Afternoon,데스 인 더 애프터눈,VERY_STRONG,"소설가 어니스트 헤밍웨이가 사랑한 칵테일로, '오후의 죽음'이라는 강렬한 이름이 붙여졌어요. 압생트의 환각적인 향과 샴페인의 우아한 맛이 어우러져 마치 아름다운 꿈을 꾸는 듯한 기분을 선사하죠. 이 칵테일은 당신에게 현실에서 벗어나 오직 나만을 위한 특별한 시간을 선물할 거예요.",CLASSIC,OTHER,"압생트:2 shots, 샴페인:1 shot",차갑게 한 잔에 압생트를 붓고 샴페인으로 채운다. 오후에 마시는 것이 가장 좋다.,https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg
Egg Cream,에그 크림,NON_ALCOHOLIC,"달콤한 추억을 떠올리게 하는 칵테일이에요. '달걀 크림'이라는 이름과 달리 달걀은 들어가지 않고, 초콜릿 시럽과 우유, 소다수가 만나 부드럽고 달콤한 맛을 내죠. 마치 어린 시절 엄마가 만들어준 간식처럼, 당신의 지친 마음을 따뜻하게 위로해 줄 거예요.",SHORT,OTHER,"초콜릿 시럽:2 tblsp, 우유:6 oz whole, 소다수:6 oz","시럽과 우유를 섞고, 탄산수를 넣는다. 빨대를 꽂아 서빙한다.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg
English Highball,잉글리시 하이볼,VERY_STRONG,"이 칵테일은 '영국식 신사의 우아함'을 담고 있어요. 브랜디와 진, 스위트 베르무트의 절묘한 조화는 마치 젠틀하고 세련된 남성과 대화하는 듯한 기분을 느끼게 하죠. 잉글리시 하이볼은 당신의 품격을 한 단계 높여줄 완벽한 선택이 될 거예요.",LONG,BRANDY,"브랜디:3/4 oz, 진:3/4 oz, 스위트 베르무트:3/4 oz, 탄산수:1 shot, 레몬 껍질:1 ea","브랜디, 진, 스위트 베르무트를 하이볼 글라스에 얼음과 함께 붓고 탄산수로 채운다. 레몬 트위스트로 장식한다. (진저에일로 대체 가능)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg
Espresso Martini,에스프레소 마티니,STRONG,밤의 활기'를 즐기는 당신을 위한 칵테일이에요. 에스프레소의 강렬함과 보드카의 깔끔함이 만나 마치 화려한 도시의 밤처럼 짜릿한 에너지를 선사하죠. 에스프레소 마티니는 파티나 중요한 모임에서 당신의 자신감을 더욱 빛나게 해줄 거예요.,CLASSIC,VODKA,"보드카:5 cl, 깔루아:1 cl, 설탕 시럽:1 dash","얼음을 채운 셰이커에 모든 재료를 넣고 강하게 흔든 뒤, 차갑게 한 마티니 글라스에 따른다.",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg
Espresso Rumtini,에스프레소 럼티니,STRONG,에스프레소'의 강렬함과 '럼'의 이국적인 향이 만나 새로운 시작을 위한 에너지를 담고 있어요. 커피와 바닐라 시럽의 조합은 마치 새벽녘의 짜릿한 아이디어처럼 당신의 열정을 깨워주죠. 에스프레소 럼티니는 중요한 모임이나 파티에서 당신의 자신감을 더욱 빛나게 해줄 거예요.,CLASSIC,RUM,"럼:1 shot, 바닐라 시럽:1/2 shot, 에스프레소:1 shot, 커피:1 shot",칵테일 글라스에 재료를 섞고 초콜릿 가루와 커피콩으로 장식한다.,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg
English Rose Cocktail,잉글리시 로즈 칵테일,MEDIUM,"영국 장미'라는 이름처럼, 이 칵테일은 우아하고 로맨틱한 분위기를 자아내요. 진과 살구 브랜디, 그리고 그레나딘이 어우러져 마치 영국 정원에서 갓 핀 장미처럼 은은하고 매혹적인 향을 풍기죠. 사랑하는 사람과 함께하는 특별한 날, 이 칵테일은 당신의 순간을 더욱 아름답게 만들어 줄 거예요.",CLASSIC,BRANDY,"살구 브랜디:3/4 oz, 진:1 1/2 oz, 드라이 베르무트:3/4 oz, 그레나딘:1 tsp, 레몬 주스:1/4 tsp, 체리:1 ea","칵테일 글라스 림을 레몬 주스로 문지르고, 설탕을 입힌다. 얼음과 함께 모든 재료(체리 제외)를 흔들고 따라낸 뒤 체리로 장식한다.",https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg
Elderflower Caipirinha,엘더플라워 카이피리냐,MEDIUM,"이 칵테일은 마치 신비로운 숲속의 요정처럼, 은은하고 매혹적인 향을 지니고 있어요. 엘더플라워의 섬세한 향과 카샤사의 강렬함이 어우러져 마치 예상치 못한 곳에서 마법을 경험하는 듯한 기분을 선사하죠. 엘더플라워 카이피리냐는 평범한 일상에 특별한 로맨스를 더하고 싶은 당신에게 완벽한 선택이 될 거예요.",LONG,RUM,"카샤사:60 ml, 라임:1, 엘더플라워 코디얼:3 cl","글라스에 라임을 으깨고, 얼음을 채운 뒤 까샤사를 넣는다. 저은 후 더 많은 얼음을 올리고 라임으로 장식한다.",https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg
Frose,프로제,LIGHT,"얼린 로제'라는 뜻의 이름처럼, 이 칵테일은 한여름의 낭만적인 휴가를 떠올리게 해요. 로제 와인의 우아함과 딸기의 상큼함이 어우러져 마치 시원한 바람이 부는 해변에서 사랑하는 사람과 함께하는 듯한 기분을 느끼게 해주죠. 프로제는 당신의 로맨틱한 순간을 더욱 달콤하게 만들어줄 거예요.",CLASSIC,WINE,"로즈:750 ml, 설탕:1/2 cup, 딸기:8 oz, 레몬 주스:2-3 oz","로제 와인을 13x9인치 팬에 붓고 알코올 때문에 완전히 얼지는 않지만 최소 6시간 정도 냉동시킨다.
설탕과 물을 끓여 딸기를 넣고 30분간 우려낸 뒤 체에 걸러 시럽을 만든 후 식힌다.
냉동한 로제, 레몬즙, 딸기 시럽, 부순 얼음을 블렌더에 넣고 갈아 슬러시 상태로 만든 뒤 컵에 나눠 담는다.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg
Frappe,프라페,NON_ALCOHOLIC,"프라페'는 그리스에서 탄생한 칵테일로, 시원하고 상쾌한 매력을 지니고 있어요. 커피의 쌉쌀함과 우유의 부드러움, 그리고 설탕의 달콤함이 어우러져 마치 여름날의 소나기처럼 당신의 지친 마음을 상쾌하게 해줘요. 프라페는 답답한 일상을 벗어나고 싶은 당신에게 완벽한 음료가 될 거예요.",LONG,OTHER,"커피:1/2 cup, 우유:1/2 cup, 설탕:1-2 tsp","모두 섞습니다. 블렌더의 최고 속도로 약 1분간 갈아줍니다. 컵에 붓고 빨대로 마십니다. 참고: 모든 재료가 차가울 때 가장 좋습니다(신선한 커피를 만들 경우, 우유와 섞어 냉장고에서 30분간 둡니다). 거품이 나지 않으면 우유나 우유 분말을 더 넣으세요. 거품이 서서히 컵 바닥에서 액체로 변하므로, 약 30분 동안 앉아서 마시면서 계속해서 더 많은 아이스 커피가 바닥에서 올라오는 것을 볼 수 있습니다. 매우 상쾌합니다.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg
Foxy Lady,폭시 레이디,MEDIUM,"여우 같은 여자'라는 뜻처럼, 이 칵테일은 자신감 넘치고 당당한 여성을 위한 음료예요. 아마레토의 달콤함과 크렘 드 카카오의 부드러움이 어우러져, 겉으로는 부드럽지만 속으로는 강인한 매력을 표현하죠. 폭시 레이디는 당신의 숨겨진 매력을 맘껏 뽐내고 싶은 날에 완벽한 동반자가 될 거예요.",CLASSIC,LIQUEUR,"아마레토:1/2 oz, 크렘 드 카카오:1/2 oz, 라이트 크림:2 oz","모든 재료를 얼음과 함께 흔든 다음, 차가운 칵테일 잔에 걸러서 제공합니다.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg
French 75,프렌치 75,STRONG,"제1차 세계대전 당시 프랑스군이 사용하던 75mm 야포에서 이름을 따왔어요. 강렬하고 짜릿한 맛이 마치 승리를 자축하는 듯한 기분을 느끼게 하죠. 진의 쌉싸름함과 샴페인의 상쾌함이 어우러져, 새로운 목표를 향해 나아가는 당신의 열정을 응원하는 듯해요. 프렌치 75는 당신의 성공을 축하하는 특별한 음료가 될 거예요.",LONG,GIN,"진:1 1/2 oz, 설탕:2 tsp, 레몬 주스:1 1/2 oz, 샴페인:4 oz, 오렌지:1 shot, 마라스키노 체리:1 shot","진, 설탕, 레몬 주스를 얼음이 채워진 칵테일 셰이커에 넣습니다. 힘차게 흔든 후 차가운 샴페인 잔에 걸러냅니다. 샴페인을 채우고 부드럽게 저어줍니다.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg
Figgy Thyme,피기 타임,MEDIUM,"이 칵테일은 마치 신비로운 정원에서 열리는 비밀스러운 파티를 연상시켜요. 무화과와 타임, 그리고 꿀의 조화는 예상치 못한 반전 매력을 선사하며, 당신의 호기심을 자극하죠. 피기 타임은 평범한 일상에서 벗어나 특별한 즐거움을 찾고 싶은 당신에게 완벽한 음료가 될 거예요.",LONG,VODKA,"보드카:2 oz, 꿀:1 tsp, 무화과:3 ea, 타임:1 Sprig, 앙고스투라 비터스:2 dashes, 토닉 워터:1/2 shot","루이스 백에 얼음을 넣고 공처럼/미친 듯이 부숩니다(@glacioice). 부순 얼음을 콜린스 잔에 붓습니다. 칵테일 셰이커에 무화과와 타임을 으깹니다. 꿀 보드카, 레몬 주스, 큰 얼음 조각을 추가합니다(@glacioice). 잘 차가워질 때까지 흔든 후 잔에 걸러냅니다. 토닉 워터를 추가하고 마지막으로 앙고스투라 비터 2방울을 넣습니다. 얇게 썬 무화과와 타임으로 장식합니다.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg
Frisco Sour,프리스코 사워,MEDIUM,"프리스코 사워'는 새로운 도전을 두려워하지 않는 당신을 위한 칵테일이에요. 블렌디드 위스키의 묵직함에 베네딕틴, 레몬, 라임의 상큼함이 더해져 마치 인생의 쓴맛과 단맛을 동시에 느끼는 듯한 기분을 주죠. 프리스코 사워는 당신의 용기와 열정을 응원하고, 어떤 어려움도 이겨낼 힘을 줄 거예요.",SHORT,WHISKY,"블렌디드 위스키:2 oz, 베네딕틴:1/2 oz, 레몬:1/4 oz, 라임:1/2 oz, 레몬:1 slice, 라임:1 slice","레몬과 라임 슬라이스를 제외한 모든 재료를 얼음과 함께 흔든 다음, 위스키 사워 잔에 걸러냅니다. 레몬과 라임 슬라이스로 장식하여 제공합니다.",https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg
Fruit Shake,프루트 쉐이크,NON_ALCOHOLIC,"이 음료는 마치 '행복 충전소' 같아요. 요구르트와 바나나, 오렌지 주스의 상큼하고 부드러운 조합은 마치 지친 하루를 보낸 당신에게 활력을 불어넣어 주는 듯하죠. 복잡한 생각에서 벗어나 잠시 쉬고 싶을 때, 이 칵테일은 당신의 마음을 가볍고 즐겁게 해줄 거예요.",LONG,OTHER,"요거트:1 cup, 바나나:1 ea, 오렌지 주스:4 oz, 과일:1/2 piece, 얼음:6 cubes",부드러워질 때까지 블렌딩합니다.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg
Fruit Cooler,프루트 쿨러,NON_ALCOHOLIC,"이 칵테일은 마치 '상큼한 소풍' 같아요. 사과 주스와 딸기, 레몬의 조화는 마치 햇살 가득한 오후, 잔디밭에 앉아 여유를 즐기는 듯한 기분을 느끼게 해줘요. 복잡한 일상에서 벗어나 가볍게 쉬고 싶을 때, 이 칵테일은 당신의 기분을 상쾌하게 만들어 줄 거예요.",LONG,OTHER,"사과 주스:1 can, 딸기:1 cup, 설탕:2 tblsp, 레몬:1 ea, 사과:1 ea, 소다수:1 L, 얼음:3 ea","딸기를 설탕과 함께 섞어 냉장고에서 밤새 둡니다. 레몬을 잘라 두 조각을 남겨두고 나머지는 즙을 냅니다. 레몬 주스, 딸기, 사과 주스, 소다수를 함께 섞습니다. 레몬 슬라이스를 추가합니다(장식용). 잔에 얼음과 사과 한 조각을 넣습니다. 음료를 붓고 제공합니다.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg
Freddy Kruger,프레디 크루거,VERY_STRONG,"이름부터 강렬한 이 칵테일은 '두려움을 이겨내는 용기'를 상징해요. 예거마이스터, 삼부카, 보드카의 강렬한 조합은 마치 당신의 내면에 숨겨진 용기와 열정을 깨워주는 듯하죠. 프레디 크루거는 새로운 도전을 앞두고 있거나, 두려움을 극복하고 싶은 당신에게 자신감을 불어넣어 줄 거예요.",SHOOTER,VODKA,"예거마이스터:1/2 oz, 삼부카:1/2 oz, 보드카:1/2 oz",넉넉한 크기의 샷으로 만드세요!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg
Funk and Soul,펑크 앤 소울,MEDIUM,"펑크와 소울'이라는 이름처럼, 이 칵테일은 당신의 자유로운 영혼을 깨워줄 거예요. 럼의 이국적인 향과 살구 넥타르, 석류 주스의 달콤함이 어우러져 마치 신나는 음악에 맞춰 춤을 추는 듯한 기분을 선사하죠. 펑크 앤 소울은 모든 것을 내려놓고 오직 당신의 리듬에 맞춰 즐기고 싶은 날에 완벽한 동반자가 될 거예요.",LONG,RUM,"럼:2 shots, 살구 넥타:1 shot, 석류 주스:1 shot, 레몬:1/2 ea, 소다수:0 Top",모든 재료를 함께 섞은 후 콜린스 잔에 걸러냅니다. 더 정통적인 맛을 위해 가능하다면 자메이카 럼을 사용하세요.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg
French Martini,프렌치 마티니,MEDIUM,"프렌치 마티니'는 세련되고 당당한 현대 여성을 위한 칵테일이에요. 보드카의 깔끔함과 라즈베리 리큐어의 달콤함, 파인애플 주스의 상큼함이 어우러져 시크하면서도 사랑스러운 당신의 모습을 표현하죠. 프렌치 마티니는 당신의 매력을 더욱 돋보이게 해줄 완벽한 동반자예요.",CLASSIC,VODKA,"보드카:4.5 cl, 라즈베리 리큐르:1.5 cl, 파인애플 주스:1.5 cl",모든 재료를 얼음 조각이 든 셰이커에 붓습니다. 잘 흔든 후 차가운 칵테일 잔에 걸러냅니다. 레몬 껍질에서 오일을 짜서 음료 위에 뿌립니다.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
French Negroni,프렌치 네그로니,STRONG,"프랑스식 네그로니'는 우아함과 세련미를 겸비한 당신을 위한 칵테일이에요. 진의 깔끔함과 릴렛의 부드러움, 그리고 베르무트의 깊은 풍미가 어우러져 마치 파리의 낭만적인 밤거리를 걷는 듯한 기분을 느끼게 해주죠. 프렌치 네그로니는 당신의 품격을 한 단계 높여줄 완벽한 선택이 될 거예요.",CLASSIC,GIN,"진:1 oz, 릴레:1 oz, 스위트 베르무트:1 oz, 오렌지 껍질:1 ea",얼음을 셰이커에 넣고 모든 재료를 붓습니다. 바 스푼을 사용하여 40~45번 저어주거나 완전히 차가워질 때까지 젓습니다. 마티니 잔에 걸러내거나 얼음이 든 록스 잔에 붓습니다. 오렌지 트위스트로 장식합니다.,https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg
Fahrenheit 5000,화씨 5000,VERY_STRONG,"이름부터 강렬한 이 칵테일은 **'짜릿한 모험'**을 꿈꾸는 당신을 위한 음료예요. 불타는 물과 타바스코 소스, 페퍼의 조합은 마치 예상치 못한 곳에서 터지는 불꽃처럼 당신의 일상에 강렬한 자극을 선사하죠. 파렌하이트 5000은 평범한 하루를 특별하게 만들고 싶은 당신에게 완벽한 선택이 될 거예요.",SHOOTER,VODKA,"파이어워터:1/2 oz, 앱솔루트 페퍼:1/2 oz, 타바스코 소스:1 dash","샷 잔 바닥을 타바스코 소스로 덮은 다음, 절반은 파이어워터, 절반은 앱솔루트 페퍼로 채웁니다.",https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg
